Baloch Green Toad
Klipheuwel Dainty Frog
Southern Dainty Frog
Boettger's Frog
Cape Metal Frog
Karoo Dainty Frog
Katanga Caco
Namaqua Caco
Small-throated Dainty Frog
Bronze Dainty Frog
Mountain Caco
Smooth Dainty Frog
Poynton's Dainty Frog
Rhythmic Dainty Frog
Striped Caco
Hogsback Dainty Frog
Abitagua Caecilian
Antioquia Caecilian
Santa Rosa Caecilian
Bokermann's Caecilian
Pensilvania Caecilian
Solid Caecilian
Normandia Caecilian
Garagoa Caecilian
Rio Santiago Caecilian
Dunn's Caecilian
Yellow-spotted Caecilian
Wormlike Caecilia
Günther's Caecilian
Fundo Sinchona Caecilian
White-headed Caecilian
Villa Tunari Caecilian
Rio Lita Caecilian
Cauca Caecilian
La Bonita Caecilian
Intac Caecilian
Andagoya Caecilian
Marudi Mountains Caecilian
Moscopan Caecilian
Magdalena Valley Caecilian
White-bellied Caecilian
Guayaquil Caecilian
Thompson's Caecilian
Cocle Caecilian
Toady Leaf Frog
Purple-sided Leaf Frog
Purple and Orange Leaf Frog
Agua Rica Leaf Frog
Orange-spotted Leaf Frog
Tiger-striped Leaf Frog
Taita Hills Warty Frog
Mazumbai Warty Frog
Krefft's Warty Frog
Boettger's Callulops Frog
Moluccan Callulops Frog
Brown Callulops Frog
Warty Callulops Frog
Kopstein's Callulops Frog
Maprik Callulops Frog
Irumbofoie Callulops Frog
Wilhelm Callulops Frog
Pyrenees Mountain Newt
Gay’s Frog
Deception Peak Mountain Toadlet
Landdroskop Mountain Toadlet
Rose’s Mountain Toadlet
Moonlight Mountain Toadlet
Tradouw's Mountain Toad
Annulated Long-fingered Frog
Congolian Long-fingered Frog
Mukuzira Long-fingered Frog
Silver Long-fingered Frog
Amiet's Long-fingered Frog
Blackspotted Long-fingered Frog
Mount Okou Long-fingered Frog
Black Long-fingered Frog
Acha Tugi Long-fingered Frog
Highland Long-fingered Frog
El Tovar Glass Frog
Paria Glass-frog
Santander Giant Glass Frog
Mountain Giant Glass Frog
Antioquia Giant Glass Frog
Blue Giant Glass Frog
Burrowes' Giant Glass Frog
Buckley's Giant Glass Frog
El Cóndor Glass Frog
Alban Cochran Frog
Pacific Giant Glass Frog
Pichincha Giant Glass Frog
Basecamp Giant Glass Frog
Huila Glassfrog
Eastern Giant Glass Frog
Rioja Giant Glass Frog
Colombian Giant Glass Frog
Tandapi Giant Glass Frog
Boyaca Giant Glass Frog
Amazon Giant Glass Frog
Sabin's Glassfrog
Sanchez's Giant Glass Frog
Savage's Cochran Frog
Tandayapa Giant Glass Frog
Lonely Cochran Frog
Venezuelan Glass Frog
Brazilian Horned Frog
Venezuelan Horned Frog
Surinam Horned Frog
Cranwell's Horned Frog
Caatinga Horned Frog
Argentinean Horned Frog
Stolzmann's Horned Frog
Ecuadorian Horned Frog
Cerro Aracamuni Emerald-barred Frog
Pico Tamacuari Emerald-barred Frog
Chaco Horned Frog
White-lipped Frog
Korinchi Frog
Tenasserim White-lipped Frog
Bander Baru Frog
Kongkang belo
Large White-lipped Frog
Kongkang macquard
Kongkang kecil
Puerto Eden Frog
Brown Thorny Frog
Yellowbelly Voiceless Treefrog
Fairy Treefrog
Esperanza Treefrog
Juanita's Earless Treefrog
Oaxacan Cloud-forest Treefrog
Pine Wood Treefrog
Mixteca Cloud-forest Treefrog
Porthole Treefrog
Spine-fingered Treefrog
Dusky Pygmy Sheep Frog
Bassler's Humming Frog
Carvalho's Silent Frog
Central Humming Frog
Fuller's Caecilian
Rana de Cristal de María Elena
Golden-striped Salamander
Cherrapunji Bush Frog
Doria's Asian Treefrog
Dudhwa Tree Frog
Annandale's Tree Frog
Katak-pucat trilaksono
Bornean Opposite-fingered Tree Frog
African Foam-nest Treefrog
Grey Foam-nest Treefrog
Arboreal Splayfoot Salamander
Atzalan Golden Salamander
Tlapacoyan Salamander
Ceron Family Salamander
El Chico Salamander
Common Splayfoot Salamander
Gristle-headed Salamander
El Cielo Salamander
Graceful Splayfoot Salamander
Dwarf Splayfoot Salamander
Sistema Purificación Salamander
Pigmy Flat-footed Salamander
Bigfoot Splayfoot Salamander
Xicotepec Salamander
Miquihuana Splayfoot Salamander
Cave Splayfoot Salmander
Toothy Splayfoot Salamander
Cloud Forest Salamander from Cofre de Perote
Cope's Flat-footed Salamander
Valle Alegre Salamander
Primeval Splayfoot Salamander
Terrestrial Flat-footed Salamander
Cruz Blanca Salamander
Amoman Choerophryne
Arndt's Choerophryne
Darlington's Rainforest Frog
Wandammen Albericus Frog
Torricelli Mountain Frog
Warty Rainforest Frog
Common Rainforest Frog
Itombwe Golden Frog
Murray's Frog
Argentine Caecilian
El Reventador Caecilian
Santa Catarina Caecilian
Bicoloured Frog
Duida Cochran Frog
Ridge Cochran Frog
San Jose Cochran Frog
Wilhelmina Cochran Frog
Grainy Cochran Frog
Mache Cochran Frog
Urrao Cochran Frog
Ramirez's Cochran Frog
Resplendent Cochran Frog
Rivero's Cochran Frog
Cauca Rocket Frog
Finca Primavera Rocket Frog
Silverstone's Rocket Frog
Common Rocket Frog
Truando Rocket Frog
Mertens' Rocket Frog
Panama Rocket Frog
Amazonas Rocket Frog
Pratt's Rocket Frog
Thornton's Rocket Frog
Allen's Slippery Frog
Filfil Slippery Frog
Abo Slippery Frog
Togo Slippery Frog
Giant Slippery Frog
Cameroon Slippery Frog
Atewa Slippery Frog
Tapping Nursery-frog
Papua Rainforest Frog
Biro's Frog
Buzzing Nursery-Frog
Kokoda Rainforest Frog
Beautiful Nursery-frog
Rattling Frog
Zweifel's Rainforest Frog
Dayman Rainforest Frog
Scanty Frog
Hosmer’s Frog
Creaking Nursery Frog
Kaindi Rainforest Frog
Mt Elliot Nursery Frog
Mountain-top Nursery-frog
Neglected Nursery Frog
Ornate Frog
Cape York Frog
Sempi Rainforest Frog
Wilhelm Rainforest Frog
Black Mountain Boulder Frog
Shelly's Rainforest Frog
Morobe Rainforest Frog
Tagula Rainforest Frog
Myola Rainforest Frog
Moroke Rainforest Frog
Madagascar Giant Treefrog
Barbour's Giant Treefrog
Boulenger's Giant Treefrog
Yellowish Tree Cophyline Frog
Nosy Be Giant Treefrog
Island Giant Treefrog
Whistling Treefrog
Common Giant Treefrog
Four-spotted Tree Cophyline Frog
Tsaratanana Giant Treefrog
Ambatoharanana Giant Treefrog
Lae Mehely Frog
Milne Bay Mehely Frog
Misima Island Mehely Frog
Wirui Mehely Frog
Sepik Mehely Frog
Bougainville Wrinkled Ground Frog
Torokina Wrinkled Ground Frog
Pomugu Wrinkled Ground Frog
Batanta Wrinkled Ground Frog
Boulenger's Platymantis
Warty Webbed Frog
Cheesman's Wrinkled Ground Frog
Elegant Sticky-toed Frog
Bougainville Sticky-toed Frog
Gilliard's Wrinkled Ground Frog
Guenther's Triangle Frog
Shortland Island Webbed Frog
Treasury Wrinkled Ground Frog
Solomon Island Palm Frog
Aresi Wrinkled Ground Frog
Ti Wrinkled Ground Frog
Kavieng Wrinkled Ground Frog
Malukuna Webbed Frog
Buka Sticky-toed Frog
Numundo Wrinkled Ground Frog
Tiny Sticky-toed Frog
Mountain Sticky-toed Frog
Myers' Wrinkled Ground Frog
Necker's Wrinkled Ground Frog
Baining Wrinkled Ground Frog
Faro Webbed Frog
Papua Wrinkled Ground Frog
Parker's Wrinkled Ground Frog
